symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,lastUpdateTime,perChange365d,date365dAgo,date30dAgo,perChange30d
BPCL,BPCLEQN,293.55,299.2,287.0,288.85,294.55,-5.7,-1.94,376.0,216.23,20-Dec-2024 15:59:46,-32.97,20-Dec-2023,19-Nov-2024,2.45
TATASTEEL,TATASTEELEQN,142.89,144.4,140.0,140.45,143.26,-2.81,-1.96,184.6,127.85,20-Dec-2024 15:59:58,10.41,20-Dec-2023,19-Nov-2024,2.72
ADANIPORTS,ADANIPORTSEQN,1205.0,1215.9,1176.2,1181.3,1205.0,-23.7,-1.97,1621.4,989.25,20-Dec-2024 15:59:55,19.05,20-Dec-2023,19-Nov-2024,-6.56
RELIANCE,RELIANCEEQN,1224.0,1239.5,1201.5,1206.0,1230.45,-24.45,-1.99,1608.8,1201.5,20-Dec-2024 15:59:59,-51.31,20-Dec-2023,19-Nov-2024,-0.9
CIPLA,CIPLAEQN,1506.55,1506.6,1469.05,1476.4,1506.55,-30.15,-2.0,1702.05,1205.85,20-Dec-2024 15:59:44,21.87,20-Dec-2023,19-Nov-2024,2.38
GRASIM,GRASIMEQN,2530.0,2563.2,2479.75,2487.8,2539.05,-51.25,-2.02,2877.75,2016.55,20-Dec-2024 15:56:33,23.04,20-Dec-2023,19-Nov-2024,1.23
WIPRO,WIPROEQN,315.5,320.0,304.4,305.85,312.75,-6.9,-2.21,320.0,208.5,20-Dec-2024 15:59:52,-27.6,20-Dec-2023,19-Nov-2024,-44.35
TCS,TCSEQN,4329.0,4382.0,4152.5,4177.05,4271.9,-94.85,-2.22,4592.25,3591.5,20-Dec-2024 15:59:48,13.01,20-Dec-2023,19-Nov-2024,5.75
SBIN,SBINEQN,834.9,836.0,810.0,814.0,832.8,-18.8,-2.26,912.0,600.65,20-Dec-2024 15:59:54,30.85,20-Dec-2023,19-Nov-2024,3.71
SHRIRAMFIN,SHRIRAMFINEQN,2953.25,2960.7,2843.65,2878.6,2945.45,-66.85,-2.27,3652.25,1972.0,20-Dec-2024 15:59:11,47.36,20-Dec-2023,19-Nov-2024,4.27
COALINDIA,COALINDIAEQN,393.0,393.7,380.5,383.0,391.95,-8.95,-2.28,543.55,346.1,20-Dec-2024 15:59:48,11.3,20-Dec-2023,19-Nov-2024,-4.92
LT,LTEQN,3716.35,3725.0,3607.1,3629.0,3716.35,-87.35,-2.35,3963.5,3175.05,20-Dec-2024 15:59:29,8.71,20-Dec-2023,19-Nov-2024,6.0
TATAMOTORS,TATAMOTORSEQN,744.3,749.55,721.5,724.3,744.05,-19.75,-2.65,1179.0,696.25,20-Dec-2024 15:59:54,5.5,20-Dec-2023,19-Nov-2024,-5.0
BEL,BELEQN,298.0,302.1,289.35,290.35,298.5,-8.15,-2.73,340.5,164.05,20-Dec-2024 15:59:59,78.48,20-Dec-2023,19-Nov-2024,6.99
ADANIENT,ADANIENTEQN,2429.0,2453.85,2333.0,2349.2,2419.35,-70.15,-2.9,3743.9,2025.0,20-Dec-2024 15:58:37,-13.09,20-Dec-2023,19-Nov-2024,-14.25
TRENT,TRENTEQN,7125.0,7188.0,6789.4,6880.0,7092.0,-212.0,-2.99,8345.0,2879.5,20-Dec-2024 15:59:52,140.49,20-Dec-2023,19-Nov-2024,10.4
M&M,M&MEQN,3014.65,3025.0,2886.35,2916.95,3014.65,-97.7,-3.24,3222.1,1575.0,20-Dec-2024 15:59:58,83.04,20-Dec-2023,19-Nov-2024,2.23
INDUSINDBK,INDUSINDBKEQN,960.0,966.85,926.45,930.9,964.4,-33.5,-3.47,1694.5,926.45,20-Dec-2024 15:59:42,-38.03,20-Dec-2023,19-Nov-2024,-3.58
AXISBANK,AXISBANKEQN,1103.95,1105.85,1065.0,1070.0,1108.9,-38.9,-3.51,1339.65,995.7,20-Dec-2024 15:59:58,-0.12,20-Dec-2023,19-Nov-2024,-2.21
TECHM,TECHMEQN,1770.0,1770.85,1680.1,1685.85,1754.35,-68.5,-3.9,1807.7,1162.95,20-Dec-2024 15:59:20,40.51,20-Dec-2023,19-Nov-2024,3.22
