priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
1,NIFTY 50,NIFTY 50,23960.7,24065.8,23537.35,23587.5,23951.7,-364.2000000000007,-1.52,1059648625.17,26277.35,21137.2,442714411,0,470844815190.99,20-Dec-2024 16:00:00,10.236382283601653,-11.592358495921879,13.25,20-Dec-2023,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,19-Nov-2024,1.84,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg,,
0,DRREDDY,DRREDDYEQN,1326.0,1368.7,1317.4,1345.3,1325.6,19.7,1.49,819240267380.74,1421.49,1094.24,7499087,0,10143790012.29,20-Dec-2024 15:59:59,5.359868869988537,-22.943778330165223,-76.24,20-Dec-2023,https://nsearchives.nseindia.com/365d/DRREDDY-EQ.svg,19-Nov-2024,9.24,https://nsearchives.nseindia.com/30d/DRREDDY-EQ.svg,https://nsearchives.nseindia.com/today/DRREDDYEQN.svg,EQ,"{'symbol': 'DRREDDY', 'companyName': ""Dr. Reddy's Laboratories Limited"", 'industry': 'Pharmaceuticals', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE089A01031', 'slb_isin': 'INE089A01031', 'listingDate': '2003-05-30', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,JSWSTEEL,JSWSTEELEQN,926.0,941.7,912.05,931.45,925.95,5.5,0.59,892102901909.22,1063.0,761.75,29003345,0,26633191646.6,20-Dec-2024 15:59:51,12.375352775164625,-22.277650147686252,9.94,20-Dec-2023,https://nsearchives.nseindia.com/365d/JSWSTEEL-EQ.svg,19-Nov-2024,-2.25,https://nsearchives.nseindia.com/30d/JSWSTEEL-EQ.svg,https://nsearchives.nseindia.com/today/JSWSTEELEQN.svg,EQ,"{'symbol': 'JSWSTEEL', 'companyName': 'JSW Steel Limited', 'industry': 'Iron & Steel', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['P1', 'P2'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE019A01038', 'slb_isin': 'INE019A01038', 'listingDate': '2005-03-23', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,ICICIBANK,ICICIBANKEQN,1283.95,1297.75,1272.4,1292.0,1286.9,5.1,0.4,9105623980698.66,1362.35,970.15,58491181,0,75326697627.23,20-Dec-2024 15:59:59,5.163871251880935,-33.17528217285987,27.84,20-Dec-2023,https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg,19-Nov-2024,3.03,https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg,https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg,EQ,"{'symbol': 'ICICIBANK', 'companyName': 'ICICI Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['E2', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE090A01021', 'slb_isin': 'INE090A01021', 'listingDate': '1997-09-17', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,NESTLEIND,NESTLEINDEQN,2160.0,2175.0,2145.4,2165.0,2160.4,4.6,0.21,774498552278.2,2778.0,2145.4,1651762,0,3575404025.2,20-Dec-2024 15:58:56,22.0662347012239,-0.9135825487088612,-91.39,20-Dec-2023,https://nsearchives.nseindia.com/365d/NESTLEIND-EQ.svg,19-Nov-2024,-2.43,https://nsearchives.nseindia.com/30d/NESTLEIND-EQ.svg,https://nsearchives.nseindia.com/today/NESTLEINDEQN.svg,EQ,"{'symbol': 'NESTLEIND', 'companyName': 'Nestle India Limited', 'industry': 'Packaged Foods', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE239A01024', 'slb_isin': 'INE239A01024', 'listingDate': '2023-08-01', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,HDFCLIFE,HDFCLIFEEQN,619.7,626.5,618.2,623.75,623.55,0.2,0.03,664915572309.63,761.2,511.4,3996244,0,2489500162.2400002,20-Dec-2024 15:56:22,18.057015239096167,-21.969104419241305,-3.19,20-Dec-2023,https://nsearchives.nseindia.com/365d/HDFCLIFE-EQ.svg,19-Nov-2024,-8.36,https://nsearchives.nseindia.com/30d/HDFCLIFE-EQ.svg,https://nsearchives.nseindia.com/today/HDFCLIFEEQN.svg,EQ,"{'symbol': 'HDFCLIFE', 'companyName': 'HDFC Life Insurance Company Limited', 'industry': 'Life Insurance', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE795G01014', 'slb_isin': 'INE795G01014', 'listingDate': '2017-11-17', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,ITC,ITCEQN,466.5,467.45,459.3,465.65,466.55,-0.9,-0.19,4326600826338.22,528.5,399.35,19481288,0,9038148754.72,20-Dec-2024 15:59:57,11.892147587511829,-16.60197821459871,3.45,20-Dec-2023,https://nsearchives.nseindia.com/365d/ITC-EQ.svg,19-Nov-2024,-0.17,https://nsearchives.nseindia.com/30d/ITC-EQ.svg,https://nsearchives.nseindia.com/today/ITCEQN.svg,EQ,"{'symbol': 'ITC', 'companyName': 'ITC Limited', 'industry': 'Diversified FMCG', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE154A01025', 'slb_isin': 'INE154A01025', 'listingDate': '1995-08-23', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,SBILIFE,SBILIFEEQN,1402.45,1414.8,1391.1,1401.0,1405.9,-4.9,-0.35,625847269891.52,1936.0,1307.7,1542712,0,2166646441.28,20-Dec-2024 15:59:36,27.634297520661157,-7.134663913741681,-0.24,20-Dec-2023,https://nsearchives.nseindia.com/365d/SBILIFE-EQ.svg,19-Nov-2024,-7.68,https://nsearchives.nseindia.com/30d/SBILIFE-EQ.svg,https://nsearchives.nseindia.com/today/SBILIFEEQN.svg,EQ,"{'symbol': 'SBILIFE', 'companyName': 'SBI Life Insurance Company Limited', 'industry': 'Life Insurance', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE123W01016', 'slb_isin': 'INE123W01016', 'listingDate': '2017-10-03', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,TITAN,TITANEQN,3350.0,3419.0,3333.15,3344.9,3356.85,-11.95,-0.36,1382066962903.31,3886.95,3055.65,1235769,0,4165184129.88,20-Dec-2024 15:58:47,13.945381340125284,-9.46607104871304,-5.55,20-Dec-2023,https://nsearchives.nseindia.com/365d/TITAN-EQ.svg,19-Nov-2024,4.1,https://nsearchives.nseindia.com/30d/TITAN-EQ.svg,https://nsearchives.nseindia.com/today/TITANEQN.svg,EQ,"{'symbol': 'TITAN', 'companyName': 'Titan Company Limited', 'industry': 'Gems Jewellery And Watches', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE280A01028', 'slb_isin': 'INE280A01028', 'listingDate': '2004-09-24', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
0,ASIANPAINT,ASIANPAINTEQN,2297.0,2318.0,2276.0,2280.0,2291.85,-11.85,-0.52,1029971469944.83,3422.95,2265.35,1719699,0,3946623220.0499997,20-Dec-2024 15:59:35,33.3907886472195,-0.6466991855563199,-30.49,20-Dec-2023,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,19-Nov-2024,-7.72,https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg,https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg,EQ,"{'symbol': 'ASIANPAINT', 'companyName': 'Asian Paints Limited', 'industry': 'Paints', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE021A01026', 'slb_isin': 'INE021A01026', 'listingDate': '1995-05-31', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '20-Dec-2024 16:00:00', 'preOpenTime': '20-Dec-2024 09:07:58', 'QuotePreOpenFlag': False}}"
